1 0.1787
2 0.0587
3 0.076
4 0.152
5 0.1253
6 0.12
7 0.1427
8 0.1747
9 0.248
10 0.264
11 -999
12 0.2493
13 0.3413
14 0.3
15 0.2947
16 0.252
17 0.516
18 0.684
19 0.8867
20 1.0813
21 0.896
22 0.4707
23 0.3893
24 0.36
25 0.3747
26 0.2347
27 0.304
28 0.108
29 0.112
30 -999
31 1.4013
32 -999
33 -999
34 2
35 2
36 1.5507
37 1.5507
38 0.5013
39 0.528
40 0.1507
41 0.4573
42 0.6293
43 0.1173
44 0.1587
45 0.092
46 0.16
47 0.232
48 0.2773
49 0.1307
50 0.1067
51 -999
52 -999
53 -999
54 -999
55 0.112
56 0.0987
57 0.1053
58 0.176
59 1.3867
60 0.5493
61 0.408
62 0.1813
63 0.408
64 0.3373
65 0.1013
66 0.108
67 0.064
68 0.1427
69 0.1787
70 0.132
71 0.1693
72 0.08
73 0.1907
74 0.148
75 0.0893
76 0.0467
77 1.212
78 0.2987
79 0.7053
80 1.9667
