1	0.049
2	0
3	0
4	0
5	0
6	0
7	0
8	0.02
9	0
10	0.02
11	0
12	0
13	0.01
14	0.039
15	0.02
16	0.205
17	0.302
18	0.127
19	1.052
20	0.779
21	0.068
22	0.01
23	0
24	0
25	-999
26	0.01
27	0
28	0.01
29	0
30	0
31	0.039
32	0.175
33	0.964
34	1.607
35	1.383
36	1.081
37	0.546
38	1.11
39	0.107
40	0.01
41	0.049
42	0.029
43	0.01
44	0.01
45	0
46	0.01
47	0.078
48	0.01
49	0
50	0
51	0
52	0.02
53	0
54	0.01
55	0.058
56	0.01
57	0.01
58	0.01
59	0.02
60	0.029
61	0
62	0
63	0.01
64	0.01
65	0
66	0.01
67	0.01
68	0
69	0
70	0
71	0
72	0.088
73	0.536
74	0.273
75	0.409
76	0.984

