1 -999
2 0.096
3 -999
4 -999
5 0.126
6 -999
7 -999
8 -999
9 1.444
10 -999
11 0.104
12 -999
13 0.106
14 0.981
15 -999
16 -999
17 -999
18 -999
19 -999
20 -999
21 0.242
22 -999
23 0.177
24 -999
25 0.129
26 -999
27 0.063
28 0.03
29 0.12
30 -999
31 0.189
32 0.339
33 -999
34 -999
35 1.5
36 1.5
37 -999
38 1.5
39 -999
40 0.024
41 -999
42 -999
43 -999
44 0.404
45 -999
46 -999
47 -999
48 0.098
49 0.044
50 -999
51 -999
52 -999
53 -999
54 -999
55 -999
56 0.265
57 -999
58 1.5
59 -999
60 1.282
61 0.042
62 0.115
63 0.088
64 0.108
65 -999
66 0.198
67 0.35
68 -999
69 -999
70 0.076
71 -999
72 0.138
73 1.5
74 1.413
75 1.304
76 0.808
