1 -999
2 -999
3 0.088
4 -999
5 -999
6 -999
7 -999
8 0.29
9 -999
10 -999
11 1.562
12 0.276
13 0.912
14 -999
15 2.0
16 0.25
17 -999
18 -999
19 -999
20 0.15
21 -999
22 -999
23 0.016
24 0.098
25 0.09
26 -999
27 0.038
28 0.116
29 -999
30 2.0
31 2.0
32 2.0
33 -999
34 0.088
35 -999
36 -999
37 0.014
38 -999
39 1.734
40 -999
41 2.0
42 2.0
43 2.0
44 -999
45 -999
46 -999
47 0.002
48 -999
49 -999
50 -999
51 0.934
52 -999
53 -999
54 0.844
55 -999
56 -999
57 0.568
58 -999
59 -999
60 -999
61 -999
62 0.27
63 -999
64 -999
65 -999
66 0.04
67 0.088
68 -999
69 0.102
70 0.018
71 -999
72 0.016
73 0.042
74 0.258
75 -999
76 0.154
77 0.046
