1 -999
2 -999
3 -999
4 0.742
5 0.22
6 0.606
7 1.788
8 -999
9 -999
10 -999
11 -999
12 -999
13 -999
14 0.45
15 -999
16 -999
17 -999
18 -999
19 -999
20 2.0
21 1.946
22 0.206
23 0.948
24 -999
25 -999
26 0.412
27 -999
28 -999
29 2.0
30 -999
31 1.26
32 2.0
33 2.0
34 -999
35 -999
36 0.058
37 0.03
38 0.048
39 -999
40 -999
41 -999
42 -999
43 1.364
44 1.544
45 0.0
46 0.0
47 -999
48 -999
49 0.58
50 0.812
51 0.116
52 0.316
53 -999
54 -999
55 -999
56 -999
57 2.0
58 1.84
59 -999
60 -999
61 0.098
62 0.012
63 -999
64 -999
65 2.0
66 -999
67 0.152
68 0.596
69 -999
70 -999
71 -999
72 2.0
73 -999
74 -999
75 -999
76 -999
77 1.802
