1 0.068
2 0.042
3 0.114
4 0.012
5 0.069
6 0.141
7 0.126
8 0.182
9 0.144
10 0.328
11 1.476
12 0.944
13 0.082
14 0.228
15 0.153
16 0.102
17 0.074
18 0.582
19 0.513
20 0.046
21 0.02
22 0.021
23 0.016
24 0.038
25 0.003
26 0.009
27 0.018
28 0.084
29 0.519
30 0.054
31 0.048
32 0.03
33 0.03
34 0.032
35 0.058
36 0.016
37 0.074
38 0.144
39 0.057
40 0.259
41 0.413
42 1.161
43 1.092
44 0.135
45 0.174
46 0.1
47 0.01
48 0.018
49 0.096
50 0.699
51 0.044
52 0.058
53 0.022
54 0.012
55 0.005
56 0.07
57 0.072
58 0.219
59 0.207
60 1.107
61 0.519
62 0.093
63 0.058
64 0.076
65 0.032
66 0.109
